measurement_sites,radius,success,max_violation,min_demand_viol,output_dir
['100'],0.004422165856596154,True,0.0,-1.9999955040973505e-06,data/Anytown-B-batch-20260331-165254/100
"['110', '90']",0.004497774478910882,True,0.0,0.00012250202470352845,data/Anytown-B-batch-20260331-165254/110_90
"['130', '20']",0.004696637363549165,True,0.0,0.0004931796943351909,data/Anytown-B-batch-20260331-165254/130_20
"['70', '90']",0.0047853533108706495,True,0.0,0.0002696408807053584,data/Anytown-B-batch-20260331-165254/70_90
['130'],0.004808893971097046,True,0.0,0.00046806785973763185,data/Anytown-B-batch-20260331-165254/130
['20'],0.005079904053969152,True,0.0,0.0004980757761579312,data/Anytown-B-batch-20260331-165254/20
[],0.005129528652189735,True,0.0,0.0004994889221012984,data/Anytown-B-batch-20260331-165254/none
"['60', '80']",0.007422252848924984,True,0.0,-1.9997481939943984e-06,data/Anytown-B-batch-20260331-165254/60_80
['30'],0.015999902625376882,True,0.0,0.00046451817570392865,data/Anytown-B-batch-20260331-165254/30
"['20', '30']",0.01600140042267488,True,0.0,0.0004597751247704128,data/Anytown-B-batch-20260331-165254/20_30
"['170', '30']",0.016097406462393365,True,0.0,0.0004907713442195298,data/Anytown-B-batch-20260331-165254/170_30
"['100', '75']",0.016221460133371203,True,0.0,3.807222994225385e-05,data/Anytown-B-batch-20260331-165254/100_75
"['150', '30']",0.016300914564083037,True,0.0,0.000501864928412193,data/Anytown-B-batch-20260331-165254/150_30
"['140', '30']",0.017641478495277477,True,0.0,0.0004452101106974189,data/Anytown-B-batch-20260331-165254/140_30
"['110', '60']",0.028726654780212364,True,0.0,1.5805196646001645e-07,data/Anytown-B-batch-20260331-165254/110_60
"['120', '160']",0.02897032164515553,True,0.0,1.034462383402444e-07,data/Anytown-B-batch-20260331-165254/120_160
"['120', '80']",0.03020915188001036,True,0.0,1.1962146841226855e-07,data/Anytown-B-batch-20260331-165254/120_80
"['170', '80']",0.031164923897507905,True,0.0,1.8892767750218087e-05,data/Anytown-B-batch-20260331-165254/170_80
"['120', '70']",0.0313010150097465,True,0.0,1.1646865097458918e-07,data/Anytown-B-batch-20260331-165254/120_70
"['130', '80']",0.03210403453780882,True,0.0,7.624343328204887e-06,data/Anytown-B-batch-20260331-165254/130_80
"['130', '60']",0.03214621149431356,True,0.0,1.8429229756395827e-05,data/Anytown-B-batch-20260331-165254/130_60
"['150', '70']",0.033083069766490454,True,0.0,7.4981868543748676e-06,data/Anytown-B-batch-20260331-165254/150_70
['170'],0.03317517530848545,True,0.0,4.8194382189567124e-05,data/Anytown-B-batch-20260331-165254/170
"['170', '20']",0.03317517530848545,True,0.0,4.8194382189567124e-05,data/Anytown-B-batch-20260331-165254/170_20
"['100', '50']",0.033219705950616366,True,0.0,7.410624531217869e-05,data/Anytown-B-batch-20260331-165254/100_50
"['120', '20']",0.033396878153724115,True,0.0,1.9456181850441383e-07,data/Anytown-B-batch-20260331-165254/120_20
['120'],0.033396878153724115,True,0.0,1.9456181850441383e-07,data/Anytown-B-batch-20260331-165254/120
